English,Thai,Note / Context (มีตรงไหนผิด/ไม่ Update กับใน Discord ก็ Comment ได้นะคะ),Category
(x) are now disabled,ปิด(x)แล้ว,Alerts ที่ขึ้นตอนหลังการเปลี่ยนการตั้งค่า,UI
(x) are now enabled ,เปิด(x)แล้ว,Alerts ที่ขึ้นตอนหลังการเปลี่ยนการตั้งค่า,UI
(x) disabled,ปิด(x)แล้ว,Alerts ที่ขึ้นตอนหลังการเปลี่ยนการตั้งค่า,UI
(x) enabled,เปิด(x)แล้ว,Alerts ที่ขึ้นตอนหลังการเปลี่ยนการตั้งค่า,UI
Accessibility,การช่วยการเข้าถึง,,
Action Menu,เมนูคำสั่ง,,
AFK,AFK,,Common
Ago,ที่แล้ว,"Relative time, ใช้บอกเวลาที่ผ่านไป เช่น 5 ชั่วโมงที่แล้ว",Common
Animator,อนิเมเตอร์,,Unity / 3D
Auto,อัตโนมัติ,Mostly on camera settings,
Avatar,อวาตาร์,,VRChat Specific
Avatar Culling,การซ่อนอวาตาร์,Culling เป็น ศัพท์ทางเทคนิค,
Badge,เหรียญตรา,,VRChat Specific
Binding,ตั้งค่าปุ่ม,,
Block,บล็อก,Social feature,Common
Border,ขอบ,,
Browse,เรียกดู,,
Calibrate,ตั้งศูนย์,,
Captcha,แคปช่า,,Common
Change,ปรับ,,
Chat,แชท,,Common
Chatbox,ช่องแชท, ,
Click,คลิก,,
Colliders,คอลไลเดอร์,,Unity / 3D
Debug,ดีบัก,ศัพท์ทางเทคนิค Dev,
Decrease,ลด,,
Default,ค่าเริ่มต้น,,Common
Dismiss Notification,เพิกเฉยการแจ้งเตือน,,
Drift,ดริฟท์,,
Dynamic,ไดนามิก,,
Dynamic Bone,ไดนามิกโบน,,Unity / 3D
Earmuffs,ปิดเสียงรอบข้าง,,
Email,อีเมล,,Common
Emojis,อิโมจิ,"""อิโมจิ"" ref IOS",Common
Error,เกิดข้อผิดพลาด,,
Excellent,ยอดเยี่ยม,,Avatar Performance Rank
Failed,ล้มเหลว,,
Fallback,ตัวสำรอง,,
Favorite,ชื่นชอบ,,Common
Favorites,รายการโปรด,,Common
FBT,ระบบติดตามร่างกาย,,
Feature,ฟีเจอร์,,Common
Friends,เพื่อน,,Instance Type
Friends+,เพื่อน+,,Instance Type
Full body Tracking,ระบบติดตามร่างกาย,,
Gallery,คลังรูปภาพ,,
Gestures,ท่าทาง,,
Good,ดี,,Avatar Performance Rank
Goodbye,ลาก่อน,,Common
Group,กลุ่ม,,Instance Type
Group Public,กลุ่มสาธารณะ,,Instance Type
Group+,กลุ่ม+,,Instance Type
Hang out,ไปสังสรรค์,,
Haptics,การสัมผัส,,
Headset,เฮดเซ็ท,,
Hello,สวัสดี,,Common
Horizontal Adjust,การปรับแนวระนาบ,,
Hub,ศูนย์รวม,,Common
Icon,ไอคอน,,
ID,ไอดี,,
Image,ภาพ,,Common
Impostor,อิมพอสเตอร์,Avatar feature,VRChat Specific
Increase,เพิ่ม,,
Instance,อินสแตนซ์,,VRChat Specific
Interactions,การโต้ตอบ,,
Invite,เชิญเท่านั้น,,Instance Type
Invite+,เชิญ+,,Instance Type
Join,เข้าร่วม,,
Jump,ข้าม,,UI
Known User,ผู้ใช้ที่รู้จัก,,Trust Rank
Loading,กำลังโหลด,,Common
Master,หัวห้อง,Instance owner,
Medium,ปานกลาง,,Avatar Performance Rank
Meta Quest,Meta Quest,,
Mobile,อุปกรณ์พกพา,,
Motion Sickness,อาการวิงเวียน,,
Nameplate,ป้ายชื่อ,,VRChat Specific
New User,ผู้ใช้ใหม่,,Trust Rank
No,ไม่,,Common
Nuisance,ตัวป่วน,,Trust Rank
Opacity,ความโปร่งแสง,,UI
Override,ตั้งค่าทับซ้อน,,
Particles,พาร์ทิเคิล,,Unity / 3D
PC,พีซี,,
Permissions,สิทธิ์,,Common
Persistence,ข้อมูลจัดเก็บ,,
Photo,รูป,,Common
Platforms,แพลตฟอร์ม,,
Please,กรุณา,,Common
Polygons,โพลิกอน,,Unity / 3D
Poor,แย่,,Avatar Performance Rank
Portal,ประตูมิติ,,VRChat Specific
Profile,โปรไฟล์,,
Public,สาธารณะ,,Instance Type
Push To Talk,กดเพื่อคุย,,
Quest,Quest,,
Rank,ยศ,ปรับเปลี่ยนตามบริบท,
Remove,"ลบ, นำออก",ขึ้นอยู่กับบริบท,Common
Rendering,การเรนเดอร์,,Unity / 3D
Report, รายงาน,,
Require,จำเป็น,ใช้ใน UI,UI
Restart,รีสตาร์ท,,Common
Send Boop,สะกิด,,
Share,แชร์,,Common
Shield Level,ระดับโล่,,
Social,สังคม,,Common
Steam,Steam,,
Steam Overlay,Steam Overlay,,
SteamVR,SteamVR,,
Strict,เคร่งครัด,,
Surface,พื้นผิว,,Common
Thank you,ขอบคุณ,,Common
Tracking,แทร็กกิ้ง,,
Transform,ทรานฟอร์ม,,Unity / 3D
Trusted User,ผู้ใช้ที่เชื่อถือได้,,Trust Rank
Tunneling,ระบบลดการมองเห็น,Vision tunneling,
Type,รูปแบบ,ขึ้นอยู่กับบริบท,
UI,UI,,UI
Unfavorite,"ยกเลิกรายการโปรด, ลบจากรายการโปรด",Depends on context,Common
Update,อัปเดต,,Common
User,ผู้ใช้,,Trust Rank
Version,เวอร์ชัน,,Common
Very Poor,แย่มาก,,Avatar Performance Rank
Visitor,ผู้เยี่ยมชม,,Trust Rank
VRC+,VRC+,,VRChat Specific
VRChat,VRChat,,VRChat Specific
World,โลก,,VRChat Specific
Yes,ใช่,,Common
Noise,เสียงรบกวน,,
Noise Suppression,ตัดเสียงเสียงรบกวน,,
Quick link,ลิงก์ด่วน,,
Actions,การกระทำ,,
Quick Actions,การกระทำด่วน,,
?,"ไหม?, หรือไม่?",ให้เลือกใช้ขึ้นอยู่กับบริบท เช่น ต้องการบันทึกอีโมจิไหม? ต้องการลบหรือไม่?,
Triangles,ไทรแองเกิล,บริบทคล้าย Polygon เลยทับศัพท์ให้เหมือนกัน,Unity / 3D
Double Click,คลิกสองครั้ง,,UI
Confetti,พลุกระดาษ,,
VRChat+,VRC+,Pending confirmation from VRChat,VRChat Specific
Selfie Expression,แสดงสีหน้าด้วยเซลฟี่,,
Finger Tracking,ระบบติดตามนิ้ว,,
Face Tracking,ระบบติดตามใบหน้า,,
Controller,อุปกรณ์ควบคุม,,
Reset,รีเซ็ต,,Common
Community Labs,ห้องทดลองชุมชน,,VRChat Specific
Locomotion,การเคลื่อนไหว,,
Avatar Pedestals,แท่นอวาตาร์,,
Constraint,คอนสเตรนต์,,Unity / 3D
Rigidbody,ริจิดบอดี้,,Unity / 3D
Skinned Mesh,สกินด์เมช,,Unity / 3D
Cloth,ผ้า,"(Cloth components) Might open vote, this is debatable",Unity / 3D
PhysBone,ฟิสิกส์โบน,,Unity / 3D
Mesh,เมช,,Unity / 3D
Renderer,เรนเดอร์เรอร์,,Unity / 3D
Deformed,ปรับรูป,,Unity / 3D
Performance,ประสิทธิภาพ,,Common
User,ผู้ใช้,,Common
Texture,เท็กซ์เจอร์,,Unity / 3D
Proximity,ความใกล้เคียง,,
Collision,,Pending vote,
Discrete,ไม่ต่อเนื่อง,,Unity / 3D
Component,คอมโพเนนต์,,Unity / 3D
Light,แสง,"When used with component, should be written as คอมโพเนนต์แสง",Unity / 3D
Audio Source,ออดิโอซอร์ซ,,Unity / 3D
Vertex,เวอร์เท็กซ์,,Unity / 3D
Vertices,เวอร์เท็กซ์,"Might open vote, Plural form of vertex",Unity / 3D
Trail,เทรล,,Unity / 3D
Material,เมททีเรียล,,Unity / 3D
Material Slots,ช่องเมททีเรียล,,Unity / 3D
Something went wrong,เกิดข้อผิดพลาดบางประการ,When used without any explanation why the error happened,VRChat Specific
Print,พรินต์,,
Theme,ธีม,,
Sticker,สติ๊กเกอร์,,
This user,ผู้ใช้รายนี้,,
